address,rssi,dist,battery,txPower,interval,roll
d5:b1:89:8b:b8:c5,-46,50,67,6,500,-50.52333016711496
f9:b3:b2:3d:53:a5,-47,50,72,6,500,-50.58906918205178
f7:9c:08:9a:42:ed,-68,50,50,6,500,-50.71992746939096
f1:96:cd:ee:25:bd,-53,50,47,6,500,-50.719892594613476
d5:b1:89:8b:b8:c5,-43,50,67,6,500,-50.572398187138056
f9:b3:b2:3d:53:a5,-43,50,72,6,500,-50.3592661932824
e3:6f:28:36:5a:db,-51,50,43,6,500,-50.42488875494131
fc:02:a0:fa:33:19,-50,50,44,6,500,-50.55617891187958
f7:9c:08:9a:42:ed,-57,50,50,6,500,-50.687312233007056
d1:0b:14:b3:18:6a,-57,50,43,6,500,-50.86767803987787
f1:96:cd:ee:25:bd,-49,50,47,6,500,-50.90055552750338
e3:6f:28:36:5a:db,-57,50,43,6,500,-50.966064265502474
fc:02:a0:fa:33:19,-46,50,44,6,500,-50.78570403099136
f7:9c:08:9a:42:ed,-61,50,50,6,500,-50.96597062478791
ef:86:35:dd:c3:f7,-49,50,69,6,500,-50.99884654262071
d5:b1:89:8b:b8:c5,-43,50,67,6,500,-50.900575846622225
f9:b3:b2:3d:53:a5,-44,50,72,6,500,-50.917144185117515
d1:0b:14:b3:18:6a,-58,50,43,6,500,-50.88420485719985
f9:b3:b2:3d:53:a5,-44,50,72,6,500,-50.687479035928945
e3:6f:28:36:5a:db,-50,50,43,6,500,-50.70391701551691
d1:0b:14:b3:18:6a,-57,50,43,6,500,-50.556156389844844
fc:02:a0:fa:33:19,-47,50,44,6,500,-50.40858139942755
f7:9c:08:9a:42:ed,-42,50,50,6,500,-50.35955350934672
f1:96:cd:ee:25:bd,-36,50,47,6,500,-50.21217541045754
ef:86:35:dd:c3:f7,-37,50,69,6,500,-50.228880549386126
d5:b1:89:8b:b8:c5,-28,50,67,6,500,-49.68781156443657
e3:6f:28:36:5a:db,-55,50,43,6,500,-49.76975825509313
fc:02:a0:fa:33:19,-34,50,44,6,500,-49.34349815117087
